indx,lw,sw,press,sph,prec,tair,uw,vw,swe,sm,Qsim,FNF
1980-10-31,273.96744,167.02733,87022.67000,0.39581,2.20534,284.51743,0.22130,0.42533,14.32180,0.47633,0.61139,1.26902
1980-11-30,266.19452,100.87695,87189.02000,0.37826,1.32332,278.84690,0.49649,0.78770,14.38796,0.51229,0.49872,1.23841
1980-12-31,263.02277,84.01234,87082.70000,0.39964,7.34641,277.05447,-0.17430,1.04526,15.42982,0.52698,1.47416,1.80302
1981-01-31,265.80005,86.01276,86784.62500,0.41478,10.65164,276.81732,-0.20804,1.45260,23.71659,0.65000,2.60163,2.03829
1981-02-28,261.53833,136.17029,86926.26000,0.41482,7.19959,276.19025,0.09192,1.21735,124.07208,0.73751,4.51662,2.74056
1981-03-31,265.53018,185.21600,86623.97000,0.43053,6.18066,277.07712,0.60819,0.86375,106.90778,0.75701,5.78585,3.53294
1981-04-30,276.76273,256.27484,86842.37500,0.54407,1.62575,281.52676,1.19901,0.02503,73.91452,0.75023,3.67525,2.34568
1981-05-31,285.33060,296.67664,86688.95000,0.61169,2.85589,283.83380,1.25791,-0.66110,45.48142,0.68856,2.58610,1.79819
1981-06-30,302.50607,320.35748,86929.44500,0.74224,0.14191,289.42523,1.14952,-0.71961,31.89823,0.66817,2.03104,1.44848
1981-07-31,298.26810,354.89320,86909.84000,0.67744,0.02798,292.40414,0.95155,-0.32491,19.00558,0.58786,1.44353,1.28957
1981-08-31,299.65063,315.89978,86774.86000,0.53680,0.00219,293.11032,1.35103,0.60976,14.30420,0.52042,1.00407,1.17511
1981-09-30,293.56560,232.73569,86897.96000,0.47948,1.79937,289.59982,0.97705,0.11049,11.37948,0.47004,0.73161,1.16366
1981-10-31,279.26470,145.55415,86754.03000,0.47260,5.68210,281.57285,0.25853,0.46825,10.91707,0.48526,0.61451,1.43424
1981-11-30,286.17108,88.13886,86675.01600,0.50806,17.96186,278.44540,0.63222,2.38401,15.75460,0.61628,6.68278,4.57177
1981-12-31,285.63614,62.44904,86736.49000,0.45615,11.95506,275.63520,1.64919,2.82233,49.42218,0.78923,8.64897,5.13824
1982-01-31,249.82635,93.55160,86798.04000,0.32200,5.21990,272.08627,0.49473,0.90252,89.41561,0.77887,4.40529,2.72255
1982-02-28,262.26538,117.51719,86871.61000,0.39929,6.61542,274.70883,0.30473,1.45240,178.62840,0.70093,5.91039,4.71737
1982-03-31,271.59372,172.68748,86259.24000,0.39894,8.94559,275.25955,1.36283,2.48226,96.95267,0.76412,6.32756,4.58318
1982-04-30,266.15857,229.09084,86643.19500,0.41982,9.07850,277.54740,0.72489,2.07988,158.07690,0.74175,8.56565,6.55842
1982-05-31,268.87988,334.41714,86710.44000,0.56290,0.33439,284.68005,0.03673,-1.70799,103.56334,0.75549,3.82897,3.57025
1982-06-30,308.21420,305.47507,86653.81000,0.78297,2.47247,287.82324,1.56109,0.55680,52.58531,0.65866,2.35316,2.38056
1982-07-31,307.02950,344.82156,86900.76000,0.78564,0.43431,290.91748,1.54801,0.33043,33.42085,0.63976,1.76388,1.90352
1982-08-31,307.67957,301.92065,86939.71000,0.64600,0.25150,291.43604,1.49091,0.81879,21.19874,0.56719,1.27640,1.63957
1982-09-30,292.01184,214.92773,86819.11000,0.53034,0.95716,286.33505,-0.10724,-0.94136,14.64321,0.51784,0.89096,1.64151
1982-10-31,279.32962,154.46588,86951.19500,0.47501,7.22457,282.06012,-0.04641,0.67452,13.52754,0.50756,0.78306,1.78804
1982-11-30,262.06992,97.74467,86519.21000,0.38177,6.93390,275.76392,0.40739,1.40493,19.60110,0.67965,2.05210,1.92973
1982-12-31,259.15110,74.73670,86746.23400,0.37935,11.64963,273.84230,0.03602,1.33960,56.89878,0.72969,6.27147,3.92938
1983-01-31,269.53354,82.38583,86695.82000,0.40222,13.87349,275.56567,0.11737,1.97122,143.90172,0.73072,8.49707,7.66765
1983-02-28,288.39270,100.64786,86220.15000,0.45354,17.17339,275.78937,0.85647,3.46153,189.69972,0.80445,11.22316,7.86958
1983-03-31,295.19577,144.96585,86049.97000,0.47817,18.66358,276.46290,1.64468,3.67208,278.92267,0.81186,15.67163,10.67953
1983-04-30,272.91217,230.95650,86405.33000,0.43024,5.89663,277.43680,0.81521,0.96889,289.25440,0.81928,6.61832,5.86971
1983-05-31,285.50458,318.96466,86787.55000,0.65952,1.37797,284.49042,1.13265,0.03241,258.79416,0.78518,5.35631,5.02733
1983-06-30,292.27786,325.75684,86677.19000,0.71248,0.48743,287.27980,1.38265,-0.25254,145.91734,0.71295,3.64708,3.39133
1983-07-31,298.84177,337.76474,86867.08600,0.73445,0.26167,289.17680,1.28448,0.38081,76.00869,0.63835,2.52410,2.66671
1983-08-31,318.21912,283.22845,86919.19000,0.73846,0.77321,291.19990,1.44357,1.43424,33.80673,0.57351,1.66462,2.29235
1983-09-30,290.94098,234.45366,86783.61000,0.56051,1.41140,288.42240,0.24492,-0.20510,19.35656,0.52773,1.05516,2.10466
1983-10-31,290.09137,154.89359,86926.69000,0.54382,3.24477,284.22125,0.63361,0.81626,17.72709,0.52231,0.77570,2.02713
1983-11-30,286.72067,80.91734,86505.51000,0.47828,13.53506,276.29758,1.44277,2.63555,19.04487,0.57132,3.99311,3.41519
1983-12-31,289.59686,62.74690,86560.53000,0.43118,14.82048,274.03080,1.88697,2.42640,71.99489,0.72209,7.84117,6.01767
1984-01-31,244.35830,96.65166,87401.83000,0.36871,0.29886,275.78137,-1.99887,-1.19550,173.22210,0.77025,4.09509,3.32507
1984-02-29,266.40225,119.14878,86925.30000,0.38574,4.33746,275.85474,0.22894,1.38182,123.72394,0.69294,3.46201,3.01395
1984-03-31,273.92493,183.08533,86843.96000,0.46384,5.08262,278.59366,0.73762,0.72638,122.36064,0.69692,4.21557,4.13445
1984-04-30,274.46130,228.26254,86666.77000,0.46025,2.82962,278.59027,1.59346,0.44600,94.94026,0.70609,3.15031,2.97092
1984-05-31,288.37494,297.09430,86897.62500,0.62728,0.86181,284.64493,1.43060,0.33688,79.08616,0.67954,2.50395,2.60148
1984-06-30,289.36343,327.76248,86793.11000,0.67347,1.58259,287.42157,0.84790,-0.84511,41.87188,0.63134,2.01177,2.16000
1984-07-31,315.35720,347.12125,86902.55500,0.79020,0.23008,294.09927,0.43932,-0.51372,27.37978,0.59303,1.48774,1.92104
1984-08-31,304.39862,307.60190,86815.33600,0.60654,1.12618,291.77127,1.51121,1.28018,18.94145,0.52599,1.01176,1.80556
1984-09-30,283.81253,235.66914,86777.98400,0.46533,0.34747,288.70828,0.36305,-0.33859,15.00042,0.50463,0.73297,1.75454
1984-10-31,275.88803,147.83832,86805.66000,0.46651,2.53460,279.98450,1.25182,0.62807,14.45289,0.47839,0.56778,1.76495
1984-11-30,282.11127,78.09895,86534.16000,0.43041,17.19526,275.23410,1.44948,3.10496,15.87890,0.52868,3.81320,2.80595
1984-12-31,247.27748,87.27283,86640.41400,0.35012,2.26966,273.09473,0.02399,0.46009,114.15239,0.73479,3.05998,2.27661
1985-01-31,241.40317,98.17145,87255.87500,0.34159,0.69847,275.34280,-1.64260,-1.06002,117.81350,0.66657,2.07185,1.90682
1985-02-28,250.87787,140.59291,87003.57000,0.36102,2.61478,275.41116,-0.41356,-0.46350,105.24622,0.63403,1.97597,1.92258
1985-03-31,258.31238,188.96828,86667.22000,0.37433,3.45384,275.54172,1.22167,0.90870,95.76461,0.65038,1.85741,2.02814
1985-04-30,273.48105,270.18875,86882.28000,0.56024,0.22250,282.85443,0.86859,0.23547,97.02824,0.66759,1.90133,2.26150
1985-05-31,279.27610,307.25995,86646.40000,0.57451,0.52873,283.89930,1.79655,0.89870,39.82487,0.63964,1.71614,1.74769
1985-06-30,301.35510,323.93190,86903.57000,0.71932,0.57553,290.45330,0.44512,-0.37230,20.92307,0.59230,1.32446,1.56886
1985-07-31,316.35275,340.62625,86960.19500,0.68645,0.74876,294.09710,1.29859,0.50289,16.63343,0.54286,0.99717,1.47485
1985-08-31,293.29932,312.20273,86854.10000,0.47165,0.17190,290.73510,1.41442,0.65738,13.31339,0.50237,0.72321,1.43348
1985-09-30,291.31604,206.44757,86760.67000,0.52846,3.09381,285.77286,0.48371,-0.02069,11.71816,0.46208,0.59348,1.48625
1985-10-31,266.96910,165.57318,86803.62500,0.41927,2.64156,282.13754,0.20503,-0.04648,12.27840,0.51427,0.49068,1.45074
1985-11-30,253.35838,100.22120,86577.29000,0.33762,2.84412,273.96075,1.20887,0.51039,13.33992,0.56158,0.51304,1.44927
1985-12-31,249.06920,86.30786,87287.12000,0.35586,4.78008,275.69617,-1.35782,0.04669,53.04762,0.58068,1.63188,1.69388
1986-01-31,285.35995,70.77511,86929.94500,0.46645,15.35287,277.58840,0.31843,2.65017,56.35810,0.63203,5.25730,3.24183
1986-02-28,278.91742,117.91679,86424.28000,0.49293,19.26499,277.27646,1.58721,3.22726,70.38643,0.81781,15.56523,10.28362
1986-03-31,277.33536,196.47202,86682.58600,0.53813,7.77800,280.04720,0.98462,1.76114,104.37007,0.80136,7.88180,5.18951
